 "personID" 	 "ageAtDeath" 	 "causeOfDeath" 	 "dateOfDeath" 	 "familyname" 	 "name" 	 "placeOfDeath" 	 "images" 
 "http://api.aucklandmuseum.com/id/person/C6564" 	 "30" 	 "Killed in Action" 	 "14 Nov 1917" 	 "Haswell" 	 "Hugh Gordon" 	 "Palestine" 	 "http://api.aucklandmuseum.com/id/person/C6564/media/1|http://api.aucklandmuseum.com/id/person/C6564/media/2|http://api.aucklandmuseum.com/id/person/C6564/media/3|http://api.aucklandmuseum.com/id/person/C6564/media/4" 
 "http://api.aucklandmuseum.com/id/person/C33402" 	 "23" 	 "Died of wounds" 	 "15 Sep 1916" 	 "Alexander" 	 "Gavin Douglas" 	 "France" 	 "http://api.aucklandmuseum.com/id/person/C33402/media/6|http://api.aucklandmuseum.com/id/person/C33402/media/2|http://api.aucklandmuseum.com/id/person/C33402/media/4|http://api.aucklandmuseum.com/id/person/C33402/media/5|http://api.aucklandmuseum.com/id/person/C33402/media/7|http://api.aucklandmuseum.com/id/person/C33402/media/1|http://api.aucklandmuseum.com/id/person/C33402/media/8|http://api.aucklandmuseum.com/id/person/C33402/media/3" 
 "http://api.aucklandmuseum.com/id/person/C7921" 	 "34" 	 "Died of wounds" 	 "10 Jan 1918" 	 "Jones" 	 "Joshua Alexander" 	 "France" 	 "http://api.aucklandmuseum.com/id/person/C7921/media/1" 
 "http://api.aucklandmuseum.com/id/person/C8659" 	 "34" 	 "Died of wounds" 	 "18 Sep 1916" 	 "Lee" 	 "William Addy" 	 "France" 	 "http://api.aucklandmuseum.com/id/person/C8659/media/1|http://api.aucklandmuseum.com/id/person/C8659/media/2" 
 "http://api.aucklandmuseum.com/id/person/C13961" 	 "33" 	 "Killed in Action" 	 "05 Apr 1918" 	 "Roulston" 	 "Herbert Lewis" 	 "Somme" 	 "http://api.aucklandmuseum.com/id/person/C13961/media/1|http://api.aucklandmuseum.com/id/person/C13961/media/2|http://api.aucklandmuseum.com/id/person/C13961/media/3" 
 "http://api.aucklandmuseum.com/id/person/C10974" 	 "24" 	 "Killed in Action" 	 "01 Oct 1916" 	 "Moosman" 	 "Lewis John" 	 "Somme" 	 "http://api.aucklandmuseum.com/id/person/C10974/media/1|http://api.aucklandmuseum.com/id/person/C10974/media/2|http://api.aucklandmuseum.com/id/person/C10974/media/3" 
 "http://api.aucklandmuseum.com/id/person/C16959" 	 "22" 	 "Killed in Action" 	 "07 Jun 1917" 	 "Williams" 	 "John Richard" 	 "Belgium" 	 "http://api.aucklandmuseum.com/id/person/C16959/media/1" 
 "http://api.aucklandmuseum.com/id/person/C1977" 	 "20" 	 "Killed in Action" 	 "04 Oct 1917" 	 "Burnett" 	 "Harold John" 	 "Ypres" 	 "http://api.aucklandmuseum.com/id/person/C1977/media/1|http://api.aucklandmuseum.com/id/person/C1977/media/2" 
 "http://api.aucklandmuseum.com/id/person/C6677" 	 "32" 	 "Died of wounds" 	 "24 Aug 1917" 	 "Hazell" 	 "Frank Edmund" 	 "Belgium" 	 "http://api.aucklandmuseum.com/id/person/C6677/media/1|http://api.aucklandmuseum.com/id/person/C6677/media/2|http://api.aucklandmuseum.com/id/person/C6677/media/3" 
 "http://api.aucklandmuseum.com/id/person/C15904" 	 "22" 	 "Died of wounds" 	 "16 Sep 1916" 	 "Tozer" 	 "Edward Charles" 	 "France" 	 "http://api.aucklandmuseum.com/id/person/C15904/media/1" 
 "http://api.aucklandmuseum.com/id/person/C16269" 	 "33" 	 "Killed in Action" 	 "08 May 1915" 	 "Walker" 	 "Thomas William" 	 "Gallipoli" 	 "http://api.aucklandmuseum.com/id/person/C16269/media/1|http://api.aucklandmuseum.com/id/person/C16269/media/2" 
 "http://api.aucklandmuseum.com/id/person/C5659" 	 "22" 	 "Killed in Action" 	 "15 Sep 1916" 	 "Goodey" 	 "James Henry" 	 "Somme" 	 "http://api.aucklandmuseum.com/id/person/C5659/media/1|http://api.aucklandmuseum.com/id/person/C5659/media/2" 
 "http://api.aucklandmuseum.com/id/person/C6579" 	 "28" 	 "Killed in Action" 	 "12 Oct 1917" 	 "Hawke" 	 "Charles Joseph" 	 "Ypres" 	 "http://api.aucklandmuseum.com/id/person/C6579/media/8|http://api.aucklandmuseum.com/id/person/C6579/media/2|http://api.aucklandmuseum.com/id/person/C6579/media/7|http://api.aucklandmuseum.com/id/person/C6579/media/1|http://api.aucklandmuseum.com/id/person/C6579/media/3|http://api.aucklandmuseum.com/id/person/C6579/media/4|http://api.aucklandmuseum.com/id/person/C6579/media/6|http://api.aucklandmuseum.com/id/person/C6579/media/5" 
 "http://api.aucklandmuseum.com/id/person/C11471" 	 "25" 	 "Died of Sickness" 	 "06 Nov 1918" 	 "Nicholls" 	 "Thompson William" 	 "Auckland" 	 "http://api.aucklandmuseum.com/id/person/C11471/media/5|http://api.aucklandmuseum.com/id/person/C11471/media/7|http://api.aucklandmuseum.com/id/person/C11471/media/1|http://api.aucklandmuseum.com/id/person/C11471/media/4|http://api.aucklandmuseum.com/id/person/C11471/media/6|http://api.aucklandmuseum.com/id/person/C11471/media/8|http://api.aucklandmuseum.com/id/person/C11471/media/3|http://api.aucklandmuseum.com/id/person/C11471/media/2" 
 "http://api.aucklandmuseum.com/id/person/C11734" 	 "22" 	 "Killed in Action" 	 "13 Oct 1917" 	 "Ockenden" 	 "Palmer" 	 "Ypres" 	 "http://api.aucklandmuseum.com/id/person/C11734/media/1" 
 "http://api.aucklandmuseum.com/id/person/C11716" 	 "21" 	 "Killed in Action" 	 "01 Oct 1916" 	 "O'Shaughnessy" 	 "Bernard Joseph" 	 "Somme" 	 "http://api.aucklandmuseum.com/id/person/C11716/media/1|http://api.aucklandmuseum.com/id/person/C11716/media/2|http://api.aucklandmuseum.com/id/person/C11716/media/3|http://api.aucklandmuseum.com/id/person/C11716/media/4" 
 "http://api.aucklandmuseum.com/id/person/C14075" 	 "29" 	 "Died of wounds" 	 "14 Apr 1918" 	 "Schumacher" 	 "Frederick William" 	 "France" 	 "http://api.aucklandmuseum.com/id/person/C14075/media/1|http://api.aucklandmuseum.com/id/person/C14075/media/2|http://api.aucklandmuseum.com/id/person/C14075/media/3" 
 "http://api.aucklandmuseum.com/id/person/C1188" 	 "20" 	 "Died of Disease" 	 "08 Mar 1917" 	 "Bischoff" 	 "Victor" 	 "[United Kingdom]" 	 "http://api.aucklandmuseum.com/id/person/C1188/media/1|http://api.aucklandmuseum.com/id/person/C1188/media/2|http://api.aucklandmuseum.com/id/person/C1188/media/4|http://api.aucklandmuseum.com/id/person/C1188/media/3|http://api.aucklandmuseum.com/id/person/C1188/media/5" 
 "http://api.aucklandmuseum.com/id/person/C1959" 	 "21" 	 "Killed in Action" 	 "15 Sep 1916" 	 "Burkhardt" 	 "Arthur Peter" 	 "Somme" 	 "http://api.aucklandmuseum.com/id/person/C1959/media/1|http://api.aucklandmuseum.com/id/person/C1959/media/2|http://api.aucklandmuseum.com/id/person/C1959/media/3|http://api.aucklandmuseum.com/id/person/C1959/media/5|http://api.aucklandmuseum.com/id/person/C1959/media/4" 
 "http://api.aucklandmuseum.com/id/person/C1704" 	 "23" 	 "Killed in Action" 	 "12 Oct 1917" 	 "Broughan" 	 "Arthur William" 	 "Ypres" 	 "http://api.aucklandmuseum.com/id/person/C1704/media/5|http://api.aucklandmuseum.com/id/person/C1704/media/1|http://api.aucklandmuseum.com/id/person/C1704/media/2|http://api.aucklandmuseum.com/id/person/C1704/media/3|http://api.aucklandmuseum.com/id/person/C1704/media/4" 
 "http://api.aucklandmuseum.com/id/person/C6159" 	 "27" 	 "Died of wounds" 	 "14 Oct 1916" 	 "Halliday" 	 "Arthur" 	 "Great Britain" 	 "http://api.aucklandmuseum.com/id/person/C6159/media/8|http://api.aucklandmuseum.com/id/person/C6159/media/1|http://api.aucklandmuseum.com/id/person/C6159/media/6|http://api.aucklandmuseum.com/id/person/C6159/media/7|http://api.aucklandmuseum.com/id/person/C6159/media/10|http://api.aucklandmuseum.com/id/person/C6159/media/5|http://api.aucklandmuseum.com/id/person/C6159/media/4|http://api.aucklandmuseum.com/id/person/C6159/media/2|http://api.aucklandmuseum.com/id/person/C6159/media/11|http://api.aucklandmuseum.com/id/person/C6159/media/9|http://api.aucklandmuseum.com/id/person/C6159/media/3|http://api.aucklandmuseum.com/id/person/C6159/media/13|http://api.aucklandmuseum.com/id/person/C6159/media/12|http://api.aucklandmuseum.com/id/person/C6159/media/14" 
 "http://api.aucklandmuseum.com/id/person/C11607" 	 "94" 	 "Killed in Action" 	 "10 Jun 2014" 	 "O'Brien" 	 "Thomas" 	 "Ypres" 	 "http://api.aucklandmuseum.com/id/person/C11607/media/1" 
 "http://api.aucklandmuseum.com/id/person/C13693" 	 "39" 	 "Killed in Action" 	 "08 May 1915" 	 "Wood" 	 "Charles Andrew" 	 "Gallipoli" 	 "http://api.aucklandmuseum.com/id/person/C13693/media/1" 
 "http://api.aucklandmuseum.com/id/person/C75" 	 "46" 	 "Died of wounds" 	 "26 Jul 1916" 	 "Ahern" 	 "William" 	 "France" 	 "http://api.aucklandmuseum.com/id/person/C75/media/1|http://api.aucklandmuseum.com/id/person/C75/media/2" 
 "http://api.aucklandmuseum.com/id/person/C7565" 	 "29" 	 "Died of wounds" 	 "05 Oct 1917" 	 "Jackson" 	 "Cyril Patrick Melbourne" 	 "Belgium" 	 "http://api.aucklandmuseum.com/id/person/C7565/media/7|http://api.aucklandmuseum.com/id/person/C7565/media/4|http://api.aucklandmuseum.com/id/person/C7565/media/3|http://api.aucklandmuseum.com/id/person/C7565/media/8|http://api.aucklandmuseum.com/id/person/C7565/media/6|http://api.aucklandmuseum.com/id/person/C7565/media/2|http://api.aucklandmuseum.com/id/person/C7565/media/1|http://api.aucklandmuseum.com/id/person/C7565/media/11|http://api.aucklandmuseum.com/id/person/C7565/media/9|http://api.aucklandmuseum.com/id/person/C7565/media/13|http://api.aucklandmuseum.com/id/person/C7565/media/10|http://api.aucklandmuseum.com/id/person/C7565/media/5|http://api.aucklandmuseum.com/id/person/C7565/media/12" 
 "http://api.aucklandmuseum.com/id/person/C6807" 	 "22" 	 "Died of wounds" 	 "02 Apr 1918" 	 "Henry" 	 "James Walton" 	 "France" 	 "http://api.aucklandmuseum.com/id/person/C6807/media/1|http://api.aucklandmuseum.com/id/person/C6807/media/2|http://api.aucklandmuseum.com/id/person/C6807/media/3" 
 "http://api.aucklandmuseum.com/id/person/C12589" 	 "20" 	 "Died of wounds" 	 "05 Oct 1917" 	 "Price" 	 "Cecil George Philips" 	 "Belgium" 	 "http://api.aucklandmuseum.com/id/person/C12589/media/1|http://api.aucklandmuseum.com/id/person/C12589/media/2" 
 "http://api.aucklandmuseum.com/id/person/C318" 	 "20" 	 "Died of wounds" 	 "18 Jul 1916" 	 "Andrew" 	 "John" 	 "France" 	 "http://api.aucklandmuseum.com/id/person/C318/media/6|http://api.aucklandmuseum.com/id/person/C318/media/4|http://api.aucklandmuseum.com/id/person/C318/media/3|http://api.aucklandmuseum.com/id/person/C318/media/5|http://api.aucklandmuseum.com/id/person/C318/media/2|http://api.aucklandmuseum.com/id/person/C318/media/1" 
 "http://api.aucklandmuseum.com/id/person/C5170" 	 "25" 	 "Killed in Action" 	 "14 Jul 1916" 	 "Freeman" 	 "Ralph Edgar" 	 "Somme" 	 "http://api.aucklandmuseum.com/id/person/C5170/media/1|http://api.aucklandmuseum.com/id/person/C5170/media/2" 
 "http://api.aucklandmuseum.com/id/person/C4769" 	 "27" 	 "Killed in Action" 	 "20 Sep 1916" 	 "Ferguson" 	 "Fergus" 	 "Somme" 	 "http://api.aucklandmuseum.com/id/person/C4769/media/1|http://api.aucklandmuseum.com/id/person/C4769/media/2" 
 "http://api.aucklandmuseum.com/id/person/C6749" 	 "42" 	 "Killed in Action" 	 "08 Jun 1917" 	 "Hende" 	 "Peter Borresen" 	 "Belgium" 	 "http://api.aucklandmuseum.com/id/person/C6749/media/1|http://api.aucklandmuseum.com/id/person/C6749/media/2" 
 "http://api.aucklandmuseum.com/id/person/C33175" 	 "47" 	 "Died of Sickness" 	 "12 Nov 1918" 	 "McHugh" 	 "Christopher MacKay" 	 "Featherston" 	 "http://api.aucklandmuseum.com/id/person/C33175/media/1|http://api.aucklandmuseum.com/id/person/C33175/media/2" 
 "http://api.aucklandmuseum.com/id/person/C826" 	 "28" 	 "Died of wounds" 	 "09 Sep 1918" 	 "Baskiville" 	 "Henry Alphonsus" 	 "France" 	 "http://api.aucklandmuseum.com/id/person/C826/media/4|http://api.aucklandmuseum.com/id/person/C826/media/1|http://api.aucklandmuseum.com/id/person/C826/media/2|http://api.aucklandmuseum.com/id/person/C826/media/3|http://api.aucklandmuseum.com/id/person/C826/media/5" 
 "http://api.aucklandmuseum.com/id/person/C6230" 	 "27" 	 "Killed in Action" 	 "15 Sep 1916" 	 "Hamlin" 	 "Frank Joseph" 	 "Somme" 	 "http://api.aucklandmuseum.com/id/person/C6230/media/1|http://api.aucklandmuseum.com/id/person/C6230/media/2" 
 "http://api.aucklandmuseum.com/id/person/C2258" 	 "24" 	 "Died of wounds" 	 "23 Sep 1916" 	 "Campbell" 	 "William Anderson" 	 "France" 	 "http://api.aucklandmuseum.com/id/person/C2258/media/1" 
 "http://api.aucklandmuseum.com/id/person/C16553" 	 "36" 	 "Killed in Action" 	 "30 May 1918" 	 "Waugh" 	 "John" 	 "France" 	 "http://api.aucklandmuseum.com/id/person/C16553/media/1|http://api.aucklandmuseum.com/id/person/C16553/media/2" 
 "http://api.aucklandmuseum.com/id/person/C37070" 	 "34" 	 "Died of Sickness" 	 "10 Nov 1918" 	 "Whishaw" 	 "Mabel Helen" 	 "Featherston" 	 "http://api.aucklandmuseum.com/id/person/C37070/media/1|http://api.aucklandmuseum.com/id/person/C37070/media/2|http://api.aucklandmuseum.com/id/person/C37070/media/3" 
 "http://api.aucklandmuseum.com/id/person/C9861" 	 "31" 	 "Killed in Action" 	 "11 Oct 1917" 	 "Macky" 	 "Thomas Roy Bayntun" 	 "Ypres" 	 "http://api.aucklandmuseum.com/id/person/C9861/media/9|http://api.aucklandmuseum.com/id/person/C9861/media/4|http://api.aucklandmuseum.com/id/person/C9861/media/12|http://api.aucklandmuseum.com/id/person/C9861/media/8|http://api.aucklandmuseum.com/id/person/C9861/media/6|http://api.aucklandmuseum.com/id/person/C9861/media/13|http://api.aucklandmuseum.com/id/person/C9861/media/10|http://api.aucklandmuseum.com/id/person/C9861/media/5|http://api.aucklandmuseum.com/id/person/C9861/media/7|http://api.aucklandmuseum.com/id/person/C9861/media/18|http://api.aucklandmuseum.com/id/person/C9861/media/11|http://api.aucklandmuseum.com/id/person/C9861/media/14|http://api.aucklandmuseum.com/id/person/C9861/media/15|http://api.aucklandmuseum.com/id/person/C9861/media/2|http://api.aucklandmuseum.com/id/person/C9861/media/16|http://api.aucklandmuseum.com/id/person/C9861/media/17|http://api.aucklandmuseum.com/id/person/C9861/media/1|http://api.aucklandmuseum.com/id/person/C9861/media/3" 
 "http://api.aucklandmuseum.com/id/person/C8198" 	 "25" 	 "Killed in Action" 	 "12 Oct 1917" 	 "Keogh" 	 "James Stanley" 	 "Ypres" 	 "http://api.aucklandmuseum.com/id/person/C8198/media/1|http://api.aucklandmuseum.com/id/person/C8198/media/2|http://api.aucklandmuseum.com/id/person/C8198/media/3|http://api.aucklandmuseum.com/id/person/C8198/media/4" 
 "http://api.aucklandmuseum.com/id/person/C2542" 	 "56" 	 "Killed in Action" 	 "07 Jun 1917" 	 "Chevalier" 	 "George Louis" 	 "Belgium" 	 "http://api.aucklandmuseum.com/id/person/C2542/media/1|http://api.aucklandmuseum.com/id/person/C2542/media/2" 
 "http://api.aucklandmuseum.com/id/person/C3298" 	 "27" 	 "Died of wounds" 	 "23 Sep 1918" 	 "Cox" 	 "Herbert William" 	 "France" 	 "http://api.aucklandmuseum.com/id/person/C3298/media/9|http://api.aucklandmuseum.com/id/person/C3298/media/8|http://api.aucklandmuseum.com/id/person/C3298/media/7|http://api.aucklandmuseum.com/id/person/C3298/media/13|http://api.aucklandmuseum.com/id/person/C3298/media/3|http://api.aucklandmuseum.com/id/person/C3298/media/10|http://api.aucklandmuseum.com/id/person/C3298/media/11|http://api.aucklandmuseum.com/id/person/C3298/media/2|http://api.aucklandmuseum.com/id/person/C3298/media/1|http://api.aucklandmuseum.com/id/person/C3298/media/12|http://api.aucklandmuseum.com/id/person/C3298/media/6|http://api.aucklandmuseum.com/id/person/C3298/media/5|http://api.aucklandmuseum.com/id/person/C3298/media/4|http://api.aucklandmuseum.com/id/person/C3298/media/14" 
 "http://api.aucklandmuseum.com/id/person/C1309" 	 "34" 	 "Killed in Action" 	 "06 Jul 1916" 	 "Blunt" 	 "Alfred Armstrong" 	 "Somme" 	 "http://api.aucklandmuseum.com/id/person/C1309/media/1|http://api.aucklandmuseum.com/id/person/C1309/media/2|http://api.aucklandmuseum.com/id/person/C1309/media/3" 
 "http://api.aucklandmuseum.com/id/person/C15325" 	 "36" 	 "Died of Disease" 	 "08 Oct 1918" 	 "Symons" 	 "Ernest" 	 "[United Kingdom]" 	 "http://api.aucklandmuseum.com/id/person/C15325/media/1|http://api.aucklandmuseum.com/id/person/C15325/media/2" 
 "http://api.aucklandmuseum.com/id/person/C16379" 	 "21" 	 "Killed in Action" 	 "04 Oct 1917" 	 "Ward" 	 "Charles Richard" 	 "Ypres" 	 "http://api.aucklandmuseum.com/id/person/C16379/media/1|http://api.aucklandmuseum.com/id/person/C16379/media/2" 
 "http://api.aucklandmuseum.com/id/person/C14103" 	 "29" 	 "Killed in Action" 	 "06 Sep 1917" 	 "Scott" 	 "George" 	 "Ypres" 	 "http://api.aucklandmuseum.com/id/person/C14103/media/1|http://api.aucklandmuseum.com/id/person/C14103/media/2" 
 "http://api.aucklandmuseum.com/id/person/C7472" 	 "23" 	 "Killed in Action" 	 "12 Jun 1917" 	 "Illston" 	 "Herbert David" 	 "Belgium" 	 "http://api.aucklandmuseum.com/id/person/C7472/media/1|http://api.aucklandmuseum.com/id/person/C7472/media/2|http://api.aucklandmuseum.com/id/person/C7472/media/3" 
 "http://api.aucklandmuseum.com/id/person/C7123" 	 "27" 	 "Died of wounds" 	 "02 Jun 1916" 	 "Holyoake" 	 "Albert" 	 "France" 	 "http://api.aucklandmuseum.com/id/person/C7123/media/1|http://api.aucklandmuseum.com/id/person/C7123/media/2|http://api.aucklandmuseum.com/id/person/C7123/media/3|http://api.aucklandmuseum.com/id/person/C7123/media/4" 
 "http://api.aucklandmuseum.com/id/person/C2117" 	 "29" 	 "Killed in Action" 	 "12 Oct 1917" 	 "Calder" 	 "John" 	 "Ypres" 	 "http://api.aucklandmuseum.com/id/person/C2117/media/3|http://api.aucklandmuseum.com/id/person/C2117/media/2|http://api.aucklandmuseum.com/id/person/C2117/media/4|http://api.aucklandmuseum.com/id/person/C2117/media/1|http://api.aucklandmuseum.com/id/person/C2117/media/5" 
 "http://api.aucklandmuseum.com/id/person/C4997" 	 "28" 	 "Killed in Action" 	 "28 Sep 1916" 	 "Ford" 	 "Charles Arthur" 	 "Somme" 	 "http://api.aucklandmuseum.com/id/person/C4997/media/1" 
 "http://api.aucklandmuseum.com/id/person/C6581" 	 "26" 	 "Died of wounds" 	 "15 Mar 1918" 	 "Hawke" 	 "Ernest Alfred" 	 "France" 	 "http://api.aucklandmuseum.com/id/person/C6581/media/1|http://api.aucklandmuseum.com/id/person/C6581/media/2" 
 "http://api.aucklandmuseum.com/id/person/C117" 	 "24" 	 "Died of wounds" 	 "19 Sep 1916" 	 "Aldridge" 	 "Ailbe" 	 "France" 	 "http://api.aucklandmuseum.com/id/person/C117/media/1|http://api.aucklandmuseum.com/id/person/C117/media/2|http://api.aucklandmuseum.com/id/person/C117/media/3" 
